Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Família com crianças,Parques Aquáticos,Campinas - SP,2021-12-26,2022-01-01,630.82,Superior Incompleto,Lazer,Estudante,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-04-10,2021-04-16,512.8,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-06-06,2021-06-10,709.03,Superior Incompleto,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Casal,Restaurantes,Ribeirão Preto - SP,2021-07-10,2021-07-14,697.43,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-01-11,2021-01-17,750.21,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,São José do Rio Preto - SP,2021-12-28,2022-01-01,726.5,Pós-graduação,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-01-18,2021-01-25,643.17,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,Campinas - SP,2021-12-26,2021-12-30,593.49,Superior Incompleto,Saúde/Bem-estar,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São José do Rio Preto - SP,2021-10-01,2021-10-08,1552.16,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,Goiânia - GO,2021-12-25,2021-12-29,692.9,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Pontos Culturais,Campinas - SP,2021-01-03,2021-01-10,534.29,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Centros de Evento,Campinas - SP,2021-01-15,2021-01-21,1158.99,Pós-graduação,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Centros de Evento,Campinas - SP,2021-12-20,2021-12-27,1135.69,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-10-12,2021-10-17,1938.81,Ensino Médio,Saúde/Bem-estar,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Restaurantes,Curitiba - PR,2021-01-19,2021-01-23,527.54,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Restaurantes,Ribeirão Preto - SP,2021-01-22,2021-01-26,768.4,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-07-10,2021-07-17,600.57,Ensino Médio,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-01-20,2021-01-24,145.21,Ensino Médio,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Restaurantes,Curitiba - PR,2021-01-18,2021-01-24,422.35,Ensino Médio,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Parques Aquáticos,Goiânia - GO,2021-01-11,2021-01-16,376.64,Superior Incompleto,Lazer,Servidor Público,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Restaurantes,Goiânia - GO,2021-01-21,2021-01-25,627.47,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,São José do Rio Preto - SP,2021-01-02,2021-01-09,429.83,Superior Incompleto,Lazer,CLT,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques de Entretenimento,Curitiba - PR,2021-11-05,2021-11-10,653.96,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques de Entretenimento,Curitiba - PR,2021-01-24,2021-01-31,533.71,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Casal,Pontos Culturais,Goiânia - GO,2021-12-12,2021-12-17,239.62,Superior Incompleto,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,São José do Rio Preto - SP,2021-12-15,2021-12-19,431.03,Ensino Médio,Lazer,CLT,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Hoteis,Campinas - SP,2021-07-23,2021-07-30,734.02,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Sozinho,Parques Aquáticos,Goiânia - GO,2021-01-27,2021-02-03,713.65,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Centros de Evento,São José do Rio Preto - SP,2021-12-13,2021-12-19,1395.44,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Sozinho,Hoteis,Ribeirão Preto - SP,2021-07-26,2021-07-30,377.5,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Restaurantes,Curitiba - PR,2021-12-12,2021-12-18,648.54,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,São Paulo - SP,2021-01-31,2021-02-04,127.91,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Restaurantes,Goiânia - GO,2021-10-16,2021-10-22,415.81,Superior Incompleto,Lazer,CLT,Familia de parques aquaticos,3 a 6 salários mínimos
Casal,Restaurantes,São Paulo - SP,2021-01-11,2021-01-16,779.32,Superior Completo,Negócios,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,Curitiba - PR,2021-07-11,2021-07-16,701.43,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Pontos Culturais,São Paulo - SP,2021-12-01,2021-12-08,452.86,Superior Incompleto,Lazer,Servidor Público,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Centros de Evento,Goiânia - GO,2021-01-05,2021-01-10,590.49,Ensino Médio,Lazer,Aposentado,Familia de parques aquaticos,Até 3 salários mínimos
Sozinho,Restaurantes,São José do Rio Preto - SP,2021-06-13,2021-06-18,665.78,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,Campinas - SP,2021-07-14,2021-07-20,703.86,Ensino Médio,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,Campinas - SP,2021-07-16,2021-07-20,631.54,Pós-graduação,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Sozinho,Parques Aquáticos,São Paulo - SP,2021-12-24,2021-12-30,517.29,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,Goiânia - GO,2021-07-21,2021-07-26,162.0,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-01-06,2021-01-10,726.77,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Hoteis,Goiânia - GO,2021-10-10,2021-10-17,591.9,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São José do Rio Preto - SP,2021-07-23,2021-07-30,352.08,Superior Incompleto,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-06-02,2021-06-09,638.92,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-08,2021-12-14,794.99,Superior Completo,Negócios,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-18,2021-12-25,1468.74,Superior Incompleto,Lazer,Assalariado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Centros de Evento,Goiânia - GO,2021-01-24,2021-01-28,714.02,Superior Completo,Negócios,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-01-12,2021-01-19,730.99,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-01-30,2021-02-06,518.67,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Hoteis,Goiânia - GO,2021-09-05,2021-09-12,179.83,Ensino Médio,Lazer,Estudante,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-05-05,2021-05-10,509.33,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,Curitiba - PR,2021-01-21,2021-01-28,518.44,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,3 a 6 salários mínimos
Casal,Pontos Turisticos,Goiânia - GO,2021-04-18,2021-04-25,740.95,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Hoteis,Curitiba - PR,2021-12-03,2021-12-10,1375.08,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-07-03,2021-07-07,680.16,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,Goiânia - GO,2021-09-05,2021-09-09,772.19,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Pontos Culturais,Belo Horizonte - MG,2021-07-23,2021-07-30,555.09,Ensino Médio,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Pontos Turisticos,Ribeirão Preto - SP,2021-07-11,2021-07-18,1078.23,Superior Incompleto,Lazer,CLT,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-12-11,2021-12-18,655.45,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-03-30,2021-04-04,499.1,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques de Entretenimento,Belo Horizonte - MG,2021-12-25,2022-01-01,489.62,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Pontos Culturais,Belo Horizonte - MG,2021-01-24,2021-01-29,799.76,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-07-31,2021-08-04,712.53,Ensino Médio,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Campinas - SP,2021-12-22,2021-12-29,652.1,Superior Completo,Visitar familiares,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Restaurantes,Ribeirão Preto - SP,2021-07-04,2021-07-09,450.24,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques Aquáticos,São Paulo - SP,2021-03-12,2021-03-19,713.61,Pós-graduação,Lazer,Estudante,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-01-20,2021-01-26,691.67,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-07-06,2021-07-13,1724.44,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Casal,Hoteis,Goiânia - GO,2021-01-01,2021-01-06,507.34,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,São José do Rio Preto - SP,2021-01-16,2021-01-22,545.19,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Casal,Centros de Evento,São Paulo - SP,2021-01-25,2021-01-29,685.94,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques de Entretenimento,Belo Horizonte - MG,2021-01-19,2021-01-26,536.89,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Casal,Parques de Entretenimento,São Paulo - SP,2021-06-05,2021-06-09,753.11,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Sozinho,Centros de Evento,São Paulo - SP,2021-01-01,2021-01-08,704.53,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Restaurantes,São Paulo - SP,2021-01-04,2021-01-10,1049.16,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Casal,Centros de Evento,São Paulo - SP,2021-07-16,2021-07-20,599.33,Pós-graduação,Eventos,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,São Paulo - SP,2021-07-16,2021-07-23,647.98,Superior Completo,Saúde/Bem-estar,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,Ribeirão Preto - SP,2021-09-29,2021-10-05,799.86,Ensino Médio,Negócios,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-02-16,2021-02-21,512.11,Pós-graduação,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-10-18,2021-10-22,561.38,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,São José do Rio Preto - SP,2021-01-24,2021-01-31,1861.46,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-10-13,2021-10-19,139.17,Ensino Médio,Visitar familiares,CLT,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-01-10,2021-01-16,467.37,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-12-12,2021-12-17,542.15,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São José do Rio Preto - SP,2021-01-25,2021-01-30,744.28,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Pontos Culturais,São Paulo - SP,2021-11-18,2021-11-23,540.26,Pós-graduação,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Pontos Culturais,Curitiba - PR,2021-12-25,2022-01-01,279.93,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,3 a 6 salários mínimos
Sozinho,Hoteis,Goiânia - GO,2021-04-27,2021-05-02,710.3,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,Goiânia - GO,2021-11-28,2021-12-03,544.18,Ensino Médio,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,Ribeirão Preto - SP,2021-07-11,2021-07-17,487.84,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,Até 3 salários mínimos
Sozinho,Parques Aquáticos,Ribeirão Preto - SP,2021-12-29,2022-01-02,730.83,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Curitiba - PR,2021-01-16,2021-01-21,703.82,Pós-graduação,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Curitiba - PR,2021-12-05,2021-12-11,1388.21,Superior Incompleto,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-01-02,2021-01-09,690.87,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,Belo Horizonte - MG,2021-12-06,2021-12-10,786.81,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-03-08,2021-03-15,489.53,Ensino Médio,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-12-21,2021-12-27,646.82,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-12-24,2021-12-31,372.17,Pós-graduação,Lazer,Aposentado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Restaurantes,Campinas - SP,2021-07-19,2021-07-26,762.85,Pós-graduação,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-06,2021-12-12,501.25,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,Até 3 salários mínimos
Grupo de amigos,Parques Aquáticos,Curitiba - PR,2021-02-17,2021-02-22,723.32,Superior Completo,Eventos,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Restaurantes,São Paulo - SP,2021-01-11,2021-01-18,504.18,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Parques Aquáticos,Ribeirão Preto - SP,2021-12-20,2021-12-27,1788.43,Ensino Médio,Visitar familiares,CLT,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques Aquáticos,São Paulo - SP,2021-01-03,2021-01-07,784.7,Ensino Médio,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,Ribeirão Preto - SP,2021-01-21,2021-01-26,760.44,Pós-graduação,Lazer,Assalariado,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,São José do Rio Preto - SP,2021-07-19,2021-07-23,776.33,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques Aquáticos,Belo Horizonte - MG,2021-07-01,2021-07-07,527.53,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Restaurantes,Belo Horizonte - MG,2021-07-01,2021-07-08,524.47,Superior Incompleto,Visitar familiares,Estudante,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Parques de Entretenimento,Ribeirão Preto - SP,2021-12-10,2021-12-15,628.64,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-07-27,2021-07-31,581.72,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-01-03,2021-01-09,515.42,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-07-21,2021-07-28,106.47,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Centros de Evento,São José do Rio Preto - SP,2021-12-20,2021-12-24,765.56,Pós-graduação,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-12-29,2022-01-05,690.72,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-12-04,2021-12-08,606.31,Superior Incompleto,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Parques Aquáticos,Ribeirão Preto - SP,2021-11-11,2021-11-17,659.12,Superior Completo,Lazer,CLT,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Parques Aquáticos,Curitiba - PR,2021-07-17,2021-07-22,685.91,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,São José do Rio Preto - SP,2021-01-17,2021-01-21,626.11,Ensino Médio,Saúde/Bem-estar,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,Ribeirão Preto - SP,2021-12-16,2021-12-22,763.01,Pós-graduação,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,Ribeirão Preto - SP,2021-01-08,2021-01-14,487.34,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Hoteis,Goiânia - GO,2021-12-25,2021-12-30,749.71,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Pontos Turisticos,Campinas - SP,2021-12-09,2021-12-15,645.12,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Pontos Culturais,Campinas - SP,2021-12-18,2021-12-23,609.79,Pós-graduação,Visitar familiares,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-01-25,2021-02-01,658.95,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-01-03,2021-01-10,630.81,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,Ribeirão Preto - SP,2021-04-04,2021-04-09,672.91,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Restaurantes,São Paulo - SP,2021-05-25,2021-05-31,337.68,Ensino Médio,Lazer,CLT,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-12-11,2021-12-15,783.08,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Parques Aquáticos,São Paulo - SP,2021-12-23,2021-12-28,791.24,Pós-graduação,Negócios,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Sozinho,Parques de Entretenimento,São Paulo - SP,2021-07-11,2021-07-15,546.64,Superior Completo,Negócios,Empresário/Profissional Liberal,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Pontos Culturais,São Paulo - SP,2021-07-21,2021-07-27,603.55,Superior Completo,Lazer,CLT,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Pontos Culturais,São José do Rio Preto - SP,2021-07-19,2021-07-24,563.29,Pós-graduação,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,Ribeirão Preto - SP,2021-07-25,2021-08-01,759.03,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,São José do Rio Preto - SP,2021-12-31,2022-01-07,599.48,Superior Completo,Lazer,Estudante,Familia de parques aquaticos,3 a 6 salários mínimos
